company,label,code
三木科技,0,831766
中马园林,0,831769
同智科技,0,831770
凯实股份,0,831774
卓越信通,0,831779
力思特,0,831781
恒远利废,0,831785
金龙科技,0,831788
英诺迅,0,831789
凯德科技,1,831790
利洋水产,0,831793
高科中天,0,831800
智华信,1,831802
绿宝石,0,831804
微企信息,0,831805
锡南铸机,0,831809
广新信息,0,831813
山源科技,0,831815
兴锐科技,0,831816
鑫辉精密,1,831818
容大股份,0,831820
智冠股份,0,831823
华菱医疗,0,831826
同方软银,0,831829
科达自控,0,831832
红冠庄,0,831833
福康药业,0,831838
广达新网,1,831839
飞驰环保,0,831846
中兵环保,0,831847
众工机械,0,831849
分豆教育,0,831850
东研科技,1,831852
世游科技,0,831853
曼克斯,0,831854
浩淼科技,0,831856
海誉科技,0,831858
祁药股份,0,831859
柏承科技,0,831861
焦作泰利,0,831863
华夏未来,0,831864
凯瑞电气,0,831865
新农股份,0,831868
畅想软件,0,831874
先锋科技,0,831878
鑫聚光电,0,831881
成达兴,0,831884
鱼鳞图,1,831885
云智科技,0,831886
长潮股份,0,831887
爱威科技,0,831895
远大信息,0,831897
汇川科技,0,831903
舜宇模具,0,831906
梦地自控,0,831910
瑞柯科技,0,831914
商中在线,0,831916
天立泰,1,831918
科菲科技,0,831919
车头制药,0,831920
长宝科技,0,831922
中科云巢,0,831923
瑞奥物联,0,831927
云能威士,0,831931
建研信息,0,831937
上海亿格,0,831938
天一生物,0,831942
亚太能源,1,831950
汇森能源,0,831956
健博通,0,831958
佳音在线,0,831960
创远仪器,1,831961
储翰科技,0,831964
埃蒙迪,0,831969
维森信息,0,831974
金康精工,0,831978
林格贝,0,831979
腾骏药业,0,831982
春盛中药,0,831983
大道信通,1,831984
华杰电气,0,831985
东方基业,0,831986
晋桦豹,0,831989
纵横宝盈,0,831990
嘉得力,0,831992
博涛文化,0,832013
基调网络,1,832015
奥伦德,0,832016
中兴机械,0,832017
固特超声,0,832018
智衡减振,0,832027
汇元科技,1,832028
华能橡胶,0,832037
科雷特,0,832039
中兴通科,1,832041
高健实业,0,832042
卫东环保,0,832043
天安智联,0,832046
春光股份,0,832056
东联科技,0,832058
欧密格,0,832059
施可瑞,1,832060
爱科赛,0,832062
鸿辉光通,1,832063
翱翔科技,0,832067
慧景科技,0,832074
东方水利,1,832075
合成药业,0,832077
泰利模具,0,832078
聚祥股份,0,832082
奥默医药,0,832083
万古科技,0,832085
现在支付,1,832086
清科股份,0,832091
安洁医疗,0,832092
浩辰软件,0,832097
泰利思诺,0,832100
浩亚股份,0,832101
诺晟股份,0,832104
中设智控,0,832106
达能电气,0,832107
亨达科技,1,832108
雷特科技,1,832110
双林机械,0,832111
网智天元,0,832112
中爆数字,0,832114
喜宝动力,0,832115
天岳科技,0,832116
华网智能,0,832118
康乐药业,1,832126
新兴药业,0,832129
云宏信息,1,832135
新为股份,0,832142
软智科技,0,832144
云媒股份,0,832148
利尔达,1,832149
龙华薄膜,0,832157
合全药业,1,832159
巨潮科技,0,832163
德毅科技,0,832170
志晟信息,1,832171
益立胶囊,0,832174
三扬股份,0,832176
博晟安全,1,832192
宏晶科技,1,832193
蔚联股份,0,832194
名家智能,0,832195
易科势腾,0,832204
全宇制药,1,832205
华科飞扬,0,832206
汇茂科技,0,832212
太川股份,1,832214
善营股份,0,832216
新阳升,0,832226
恒盛环保,0,832231
正全股份,0,832232
鸿通管材,0,832234
亚森实业,0,832240
现代精工,0,832242
力合节能,0,832243
润天智,1,832246
安正科技,0,832248
普点科技,0,832249
大乘科技,0,832256
正和药业,0,832257
瑞特科技,0,832260
鑫鹰科技,0,832261
芍花堂,1,832265
诺君安,0,832267
龙图信息,0,832272
佳时达,0,832274
翔宇药业,1,832276
鹿得医疗,1,832278
智途科技,0,832282
锦瑞新材,0,832287
鑫乐医疗,0,832294
天维尔,0,832296
三信科技,0,832301
广安车联,1,832303
纽威科技,0,832304
兆科电子,0,832311
汉能华,0,832313
广通股份,0,832318
捷尚股份,1,832325
海颐软件,1,832327
高士达,0,832331
科立森,0,832335
远大宏略,0,832339
国联股份,1,832340
常荣声学,0,832341
太矿电气,0,832347
汇知康,0,832350
益泰药业,1,832353
动脉智能,0,832355
一保通,0,832358
众智同辉,0,832361
英伦信息,0,832366
慧图科技,0,832367
江苏神农,0,832369
天原药业,0,832376
格瑞光电,0,832384
深凯瑞德,0,832386
龙磁科技,1,832388
睿思凯,0,832389
微缔软件,0,832400
德尔智能,0,832403
华翼微,0,832407
科神股份,0,832410
海龙国际,0,832411
旭海科技,0,832418
福昕软件,1,832422
德卡科技,0,832423
科海股份,0,832424
国农基业,0,832425
灵佑药业,0,832426
刻度信息,0,832428
科列技术,1,832432
亚克股份,0,832433
三泰新材,0,832437
九天高科,0,832440
思必拓,0,832442
恒宝通,1,832449
神州电子,0,832451
新涛科技,0,832454
恒坤股份,0,832456
成光兴,0,832460
山东众和,0,832466
卓越鸿昌,0,832474
商会网络,0,832480
鸿盛科技,0,832481
普罗米新,0,832483
汉得利,0,832487
奥迪威,1,832491
金蓝络,0,832492
珠海港信,0,832493
精铟海工,0,832495
安技智能,0,832497
明源软件,0,832498
圆融科技,0,832502
华鼎科技,0,832503
华光胶囊,0,832509
汇群中药,0,832513
中通电气,0,832519
尚洋信息,0,832524
德业变频,0,832525
鸿普森,0,832526
斯迈柯,0,832528
元丰科技,0,832531
京成科技,0,832536
洁华控股,0,832537
金软科技,0,832542
三川田,0,832545
金泉科技,0,832548
御福沃顿,0,832557
盈嘉科技,1,832562
梓橦宫,1,832566
蓝海科技,1,832570
点击网络,1,832571
亨戈股份,0,832574
云迅通,0,832575
建科机械,0,832578
同兴股份,1,832579
观想科技,0,832584
精英科技,1,832585
圣兆药物,0,832586
联海通信,0,832594
迈达医疗,0,832596
泰通科技,1,832602
天禹星,0,832608
合海股份,0,832610
智媒云图,0,832611
双发股份,0,832615
数码大方,0,832617
中安股份,1,832620
铱迅信息,0,832623
金智教育,0,832624
预言软件,0,832626
爱源股份,0,832628
伏泰科技,1,832633
大运科技,0,832636
华源磁业,0,832637
瓦力科技,1,832638
确信信息,0,832642
高德信,1,832645
讯众股份,1,832646
金点物联,0,832653
优力克,0,832656
蓝太平洋,0,832661
未名信息,0,832664
竹林松大,0,832667
数亮科技,0,832670
贵仁科技,0,832677
像素数据,0,832682
华洋科技,0,832685
育星达,0,832686
东鼎股份,1,832693
维冠机电,0,832694
华航科技,0,832695
南华工业,0,832699
达瑞生物,1,832705
时代凌宇,0,832706
三力制药,1,832708
思晗科技,0,832714
华信股份,0,832715
跃通科技,0,832716
诺伊曼,0,832719
百胜软件,0,832722
景心科技,0,832727
全宝科技,0,832728
洁利来,0,832734
德源药业,1,832735
天润基业,0,832738
瑞风协同,1,832744
奥飞数据,0,832745
长明机械,0,832746
豫新股份,0,832748
施泰信息,0,832755
景安网络,0,832757
煜鹏通讯,0,832761
大洋信息,0,832762
唐邦科技,0,832765
墨药股份,0,832767
爱可生,1,832768
汕樟轻工,0,832769
赛格导航,0,832770
寰烁股份,1,832773
森泰环保,1,832774
雨来科技,0,832776
兰州华冶,0,832777
多邦科技,0,832778
东方明康,0,832779
科瑞生物,0,832780
伟乐科技,0,832781
国通亿创,0,832785
银科金典,0,832787
普思生物,0,832791
逸舒制药,1,832796
吉星吉达,0,832798
陆海石油,0,832799
赛特斯,1,832800
保丽洁,1,832802
云高信息,0,832807
金瀚科技,0,832815
身临其境,0,832817
凡科股份,0,832828
禹鼎物联,0,832832
林江股份,0,832834
亚世光电,1,832840
华宽通,0,832849
天杭生物,0,832851
电旗股份,0,832853
宏景电子,0,832857
奇致激光,0,832861
军芃科技,0,832863
天膜科技,0,832865
金亿帝,0,832868
达尔智能,0,832869
地球村,0,832871
